id;Dataset;normalize;meka;weka;F1 (macro averaged by label);Model Size
1;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
2;emotions;True;meka.classifiers.multilabel.RAkELd -P 5 -N 3 -batch-size 3;weka.classifiers.lazy.KStar -- -B 39 -E -M m;0.34321000000000024;1656409.0491977907
3;emotions;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.PART -- -M 21 -B;0.593419999999999;37124.62259010801
4;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.rules.DecisionTable -- -E rmse -I -S GreedyStepwise -X 3;0.6202816706349208;851318.7188732674
5;emotions;False;meka.classifiers.multilabel.RAkELd -P 3 -N 0 -batch-size 5;weka.classifiers.rules.PART -- -M 2 -B -R -N 4;0.5595899999999998;98222.86507057994
6;emotions;True;meka.classifiers.multilabel.BPNN -E 343 -H 23 -r 0.019 -m 0.4;;0.6280500000000007;38979.635038037326
7;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 31 -X;0.6372899999999997;1493850.1577680334
8;emotions;False;meka.classifiers.multilabel.BRq -P 0.65;weka.classifiers.trees.RandomTree -- -M 30 -K 24 -depth 0 -N 0;0.5862600000000003;31644.44032537178
9;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.J48 -- -M 28 -J -U;0.5563699999999994;23646.049078663415
10;emotions;False;meka.classifiers.multilabel.BPNN -E 321 -H 39 -r 0.098 -m 0.8;;0.23617000000000016;59497.743836174
11;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.rules.DecisionTable -- -E rmse -I -S GreedyStepwise -X 3;0.6202816706349208;851318.7188732674
12;emotions;False;meka.classifiers.multilabel.BRq -P 0.65;weka.classifiers.functions.SGD -- -F 1 -L 1e-05 -R 1e-06 -N;0.5230500000000003;47877.00000000065
13;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
14;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.J48 -- -M 28 -J -U;0.5563699999999994;23646.049078663415
15;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
16;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.rules.DecisionTable -- -E mae -I -S GreedyStepwise -X 3;0.6202816706349208;851318.7188732674
17;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
18;emotions;False;meka.classifiers.multilabel.BPNN -E 321 -H 39 -r 0.098 -m 0.8;;0.23617000000000016;59497.743836174
19;emotions;True;meka.classifiers.multilabel.BPNN -E 343 -H 23 -r 0.019 -m 0.4;;0.6280500000000007;38979.635038037326
20;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 6 -X;0.6367700000000008;1493198.1592483136
21;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.TAN;0.5968399999999996;238108.60291413355
22;emotions;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.PART -- -M 21 -B;0.593419999999999;37124.62259010801
23;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
24;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
25;emotions;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.PART -- -M 21 -B;0.593419999999999;37124.62259010801
26;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
27;emotions;True;meka.classifiers.multilabel.BPNN -E 343 -H 23 -r 0.019 -m 0.4;;0.6280500000000007;38979.635038037326
28;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
29;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
30;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.TabuSearch -- -P 1;0.5968399999999996;238108.60291413355
31;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
32;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
33;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
34;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
35;emotions;True;meka.classifiers.multilabel.BPNN -E 343 -H 23 -r 0.019 -m 0.4;;0.6280500000000007;38979.635038037326
36;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
37;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 6 -X;0.6367700000000008;1493198.1592483136
38;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.TabuSearch -- -P 1;0.5968399999999996;238108.60291413355
39;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
40;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
41;emotions;True;meka.classifiers.multilabel.BPNN -E 343 -H 23 -r 0.019 -m 0.4;;0.6280500000000007;38979.635038037326
42;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
43;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
44;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
45;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
46;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
47;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.TabuSearch -- -P 1;0.5968399999999996;238108.60291413355
48;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
49;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
50;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
51;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.VotedPerceptron -- -I 7 -M 48677 -E 3.300000000000001;0.17575500000000002;4193222.2989221443
52;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
53;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
54;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
55;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
56;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
57;emotions;False;meka.classifiers.multilabel.BRq -P 0.55;weka.classifiers.trees.RandomTree -- -M 36 -K 24 -depth 0 -N 0;0.5849700000000005;29936.70323941745
58;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
59;emotions;False;meka.classifiers.multilabel.BRq -P 0.65;weka.classifiers.trees.RandomTree -- -M 30 -K 24 -depth 0 -N 0;0.5862600000000003;31644.44032537178
60;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
61;emotions;True;meka.classifiers.multilabel.BPNN -E 343 -H 23 -r 0.019 -m 0.4;;0.6280500000000007;38979.635038037326
62;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 58 -K 0 -depth 0 -N 0;0.5625900000000003;13333.70914915436
63;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
64;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 63 -X -I;0.6483000000000005;1494241.357898459
65;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 11 -N 0;0.5609600000000006;13194.46262650191
66;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
67;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
68;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 63 -X -I;0.6483000000000005;1494241.357898459
69;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 58 -K 0 -depth 0 -N 0;0.5625900000000003;13333.70914915436
70;emotions;True;meka.classifiers.multilabel.BPNN -E 343 -H 23 -r 0.049 -m 0.2;;0.5622800000000003;38967.00000000066
71;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 63 -X -I;0.6483000000000005;1494241.357898459
72;emotions;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.PART -- -M 21 -B;0.593419999999999;37124.62259010801
73;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
74;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 4;0.48706000000000005;12743.86413646515
75;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
76;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
77;emotions;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.PART -- -M 21 -B;0.593419999999999;37124.62259010801
78;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
79;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
80;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
81;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 0;0.5617800000000008;13194.140975756567
82;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -F;0.6479300000000009;1494227.1936163637
83;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 63 -X -I;0.6483000000000005;1494241.357898459
84;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 6 -X;0.6367700000000008;1493198.1592483136
85;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
86;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 6 -X -I;0.6380300000000007;1493221.918600885
87;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
88;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 4;0.48706000000000005;12743.86413646515
89;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
90;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 63 -X -F;0.6461700000000009;1494256.2371540503
91;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
92;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 4;0.48706000000000005;12743.86413646515
93;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1e-11;0.6129999999999997;114891.00000000121
94;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.TAN;0.5968399999999996;238108.60291413355
95;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
96;emotions;True;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 58 -X -I;0.6499800000000007;1494220.0732681965
97;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
98;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.TAN;0.5968399999999996;238108.60291413355
99;emotions;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.Logistic -- -R 1.0;0.6335050000000005;114891.00000000121
100;emotions;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.RandomTree -- -M 63 -K 0 -depth 0 -N 4;0.48706000000000005;12743.86413646515
id;Dataset;normalize;meka;weka;F1 (macro averaged by label);Model Size
1;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 31 -K 0 -depth 2;0.5980099999999993;417482.22147020703
2;emotions;False;meka.classifiers.multilabel.CT -X L -Iy 51 -Is 642 -P 'Macro Precision' -H 1;weka.classifiers.trees.LMT -- -M 40 -B -P -W 0.32;0.5721699999999997;204244.09867606545
3;emotions;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.JRip -- -N 3.9 -E -P -O 1;0.5481799999999992;74038.60748757776
4;emotions;False;meka.classifiers.multilabel.PMCC -Iy 99 -Is 233 -B 0.34 -O 1 -M 42 -P 'Avg precision';weka.classifiers.functions.Logistic -- -R 1e-07;0.590595;5234198.60119336
